CITY_STATE,COUNTY
"MUKILTEO, WA",SNOHOMISH
"AUBURN, WA",KING
"SAN MARCOS, CA",SAN DIEGO
"SAINT PAUL, MN",ST. LOUIS
"HUTCHINSON, KS",RENO
"SUPERIOR, CO",BOULDER
"ROCHESTER, NY",MONROE
"WEST PADUCAH, KY",MCCRACKEN
"FOUNTAIN, CO",EL PASO
"ALBANY, NY",ALBANY
"GRANGER, IN",ST. JOSEPH
"RIALTO, CA",SAN BERNARDINO
"CASHION, OK",KINGFISHER
"Great Falls, MT",CASCADE
"ROCA, NE",LANCASTER
"BURBANK, IL",COOK
"SANFORD, NC",LEE
"PLAINS, TX",YOAKUM
"JOHNSONS CORNER, ND",MCKENZIE
"HOBBS, NM",LEA
"SOUTH GATE, UT",WEBER
"AMES, IA",STORY
"VALDOSTA, GA",LOWNDES
"REDONDO BEACH, CA",LOS ANGELES
"COMMERCE CITY, CO",ADAMS
"Pueblo, CO",PUEBLO
"FERNDALE, WA",WHATCOM
"EAST SAINT LOUIS, IL",NA
"NORTHGLENN, CO",BROOMFIELD
"SAINT LOUIS, MO",PHELPS
"HILLSBORO, OR",WASHINGTON
"OZONA, TX",CROCKETT
"Lakewood, CO",JEFFERSON
"PALMYRA, MO",MARION
"BELLE ROSE, LA",ASSUMPTION
"DENVER, CO",DENVER
"LA MIRADA, CA",LOS ANGELES
"DAVENPORT, IA",SCOTT
"FARMINGTON, NM",SAN JUAN
"BUFFALO, MT",FERGUS
"KIRKSVILLE, MO",ADAIR
"BRAHANEY, TX",BRAZOS
"Humble, TX",HARRIS
"BRIGGSDALE, CO",WELD
"MEQUON, WI",OZAUKEE
"OLNEY, TX",YOUNG
"THOMPSON FALLS, MT",SANDERS
"MENTONE, CA",SAN BERNARDINO
"BUCKEYE, NM",LEA
"CADDO MILLS, TX",HUNT
"SCOTTSDALE, AZ",MARICOPA
"COLORADO SPRINGS, CO",EL PASO
"BLACKWATCH, TX",NEWTON
"EDEN PRAIRIE, MN",HENNEPIN
"BELLFLOWER, CA",LOS ANGELES
"BEDFORD PARK, IL",COOK
"NEW ORLEANS, LA",ORLEANS
"SAINT JAMES, LA",GREENWOOD
"SILVER BOW, MT",SILVER BOW
"GRETNA, LA",JEFFERSON
"PASCAGOULA, MS",JACKSON
"HOLLAND, MI",OTTAWA
"SAN ANGELO, TX",TOM GREEN
"CARPINTERIA, TX",EASTLAND
"FOREST VIEW, IL",COOK
"MCCARREN, NV",WASHOE
"COVINGTON, WA",KING
"MIRA LOMA, CA",RIVERSIDE
"BOISE, ID",ADA
"NEW HAVEN, CT",NEW HAVEN
"MANKATO, MN",BLUE EARTH
"DALLAS, GA",PAULDING
"CLEMENS, TX",COLEMAN
"OUACHITA, LA",UNION
"PATOKA, TX",COTTLE
"CONVENT, LA",ST. JAMES
"PEP, TX",ANGELINA
"SAN RAFAEL, CA",MARIN
"EAST SETAUKET, NY",SUFFOLK
"ROGERS, AR",BENTON
"HELENA, TX",KARNES
"GEISMAR, LA",ASCENSION
"EVANSVILLE, WY",NATRONA
"houston, TX",HARRIS
"ONTARIO, CA",NA
"Little Rock, AR",PULASKI
"CARROLLTON, GA",CARROLL
"SUN VALLEY, CA",LOS ANGELES
"CHERRYVALE, KS",MONTGOMERY
"NORTH PLATTE, NE",LINCOLN
"PALM BEACH, FL",PALM BEACH
"OKLAHOMA, OK",OKLAHOMA
"League City, TX",GALVESTON
"SHREVEPORT, LA",CADDO
"WINKLER, TX",WINKLER
"ARDMORE, OK",CARTER
"BENTONVILLE, AR",BENTON
"LAWTON, OK",COMANCHE
"ANNISTON, AL",CALHOUN
"Grand Island, NE",HALL
"WORCESTER, MA",WORCESTER
"MASCOUTAH, IL",ST. CLAIR
"BEAUFORT, SC",BEAUFORT
"MARSHALL, MN",LYON
"OMAHA, NE",DOUGLAS
"EL CAJON, CA",SAN DIEGO
"Davisville, RI",WASHINGTON
"SCOTT CITY, KS",SCOTT
"BAINBRIDGE, GA",DECATUR
"INGLEWOOD, CA",LOS ANGELES
"CAMARILLO, CA",VENTURA
"MEMPHIS, TN",SHELBY
"SILER CITY, NC",RANDOLPH
"WOOD RIVER, TX",PARKER
"CHICO, TX",WISE
"OSCODA, MI",IOSCO
"Loveland, CO",LARIMER
"NORMAN, OK",OKLAHOMA
"MASON CITY, IA",CERRO GORDO
"CONIFER, CO",JEFFERSON
"BREA, CA",ORANGE
"EAST PROVIDENCE, RI",PROVIDENCE
"SNOHOMISH, WA",SNOHOMISH
"EMPORIA, KS",LYON
"INDIO, CA",RIVERSIDE
"INOLA, OK",ROGERS
"CUSHING, OK",PAYNE
"HUNTSVILLE, AL",MADISON
"MCPHERSON, KS",MCPHERSON
"FAIRFAX, VA",FAIRFAX CITY
"FORT LEONARD WOOD, MO",FRANKLIN
"PORTLAND, ME",CUMBERLAND
"MARRERO, LA",JEFFERSON
"PASADENA, CA",LOS ANGELES
"WHEAT RIDGE, CO",JEFFERSON
"SAN GABRIEL, CA",LOS ANGELES
"ROANOKE, VA",ROANOKE CITY
"TAYLOR, MI",WAYNE
"MACON, GA",BIBB
"SAINT PAUL PARK, MN",NA
"PRESCOTT, AZ",YAVAPAI
"ROSEVILLE, MN",RAMSEY
"SYRACUSE, NY",ONONDAGA
"Woodland Park, CO",TELLER
"SANTA CLARITA, CA",LOS ANGELES
"ERWIN, NC",HARNETT
"EUNICE, NM",LEA
"ORLANDO, FL",ORANGE
"COFFEYVILLE, KS",MONTGOMERY
"COUNTRY CLUB HILLS, IL",COOK
"SELMA, AL",DALLAS
"CAMERON, LA",CAMERON
"LA CRUCES, NM",SAN BERNARDINO
"WEST FARGO, ND",CASS
"MERAUX, LA",ST. BERNARD
"NEVILLE ISLAND, PA",ALLEGHENY
"GREAT FALLS, MT",CASCADE
"PONCA CITY, OK",KAY
"THORNTON, CO",ADAMS
"NASHVILLE, TN",DAVIDSON
"GREEN BAY, WI",BROWN
"LA VERNE, CA",LOS ANGELES
"SALINA, KS",SALINE
"FRUITA, CO",MESA
"JONESVILLE, LA",CATAHOULA
"HAYDEN, CO",ROUTT
"DOWNEY, CA",LOS ANGELES
"AURORA, MT",NA
"CARMI, IL",WHITE
"EASTMAN, GA",DODGE
"MURRIETA, CA",RIVERSIDE
"MORIARTY, NM",TORRANCE
"SANTEE, OR",CLACKAMAS
"SAINT JOSEPH, MO",MONITEAU
"TYE, TX",TAYLOR
"ROCKVILLE, MD",MONTGOMERY
"TALLULAH, LA",MADISON
"COLUMBIA FALLS, MT",FLATHEAD
"EDINBURG, TX",HIDALGO
"TEHAMA, CA",TEHAMA
"WILMINGTON, CA",LOS ANGELES
"LITTLETON, CO",ARAPAHOE
"MARTINSBURG, WV",BERKELEY
"CAYOTE, TX",BOSQUE
"AZUSA, CA",LOS ANGELES
"CHINO, CA",SAN BERNARDINO
"BIRMINGHAM, AL",JEFFERSON
"CLAREMONT, CA",LOS ANGELES
"GOLDEN MEADOW, LA",LAFOURCHE
"GRANITE CITY, IL",MADISON
"CHEROKEE, OK",ALFALFA
"WATERFORD, MI",OAKLAND
"KEENE, ND",MCKENZIE
"PROVIDENCE, RI",PROVIDENCE
"BALDWIN PARK, CA",LOS ANGELES
"ANACORTES, WA",SKAGIT
"TRENTON, NJ",MERCER
"Port Arthur, TX",JEFFERSON
"OLATHE, KS",JOHNSON
"WEST BURLINGTON, IA",DES MOINES
"PICO RIVERA, CA",LOS ANGELES
"HARPER, OK",HARPER
"MILWAUKEE, WI",MILWAUKEE
"FRYBURG, ND",BILLINGS
"WEST BAY, LA",LE SUEUR
"WHITSETT, TX",LIVE OAK
"WAMSUTTER, WY",SWEETWATER
"FAYETTEVILLE, NC",CUMBERLAND
"Broomfield, CO",BROOMFIELD
"TINKER AIR FORCE BASE, OK",NA
"ARLETA, CA",LOS ANGELES
"ROMULUS, MI",WAYNE
"VALLEY CENTER, KS",SEDGWICK
"WEST DEPTFORD, NJ",GLOUCESTER
"TEXON, TX",REAGAN
"OYSTER BAY, NY",NASSAU
"AURORA, CO",ARAPAHOE
"SALEM, OR",MARION
"RODEO, CA",CONTRA COSTA
"DELPHOS, KS",OTTAWA
"FALLBROOK, CA",SAN DIEGO
"KANSAS CITY, MO",JACKSON
"TORRANCE, CA",LOS ANGELES
"LAWNDALE, CA",LOS ANGELES
"CORALVILLE, IA",JOHNSON
"GREENVILLE, MS",WASHINGTON
"BROOKLINE STATION, MO",NA
"EL DORADO, AR",UNION
"EVANSVILLE, IN",VANDERBURGH
"RANCHO CORDOVA, CA",SACRAMENTO
"SAN RAFAEL, TX",JASPER
"WASHINGTON, OK",OKLAHOMA
"GAINESVILLE, TX",COOKE
"TIBURON, CA",MARIN
"SAN RAMON, TX",CASS
"WINK, TX",WINKLER
"STRATFORD, CT",FAIRFIELD
"OXFORD, AL",CALHOUN
"JUNCTION CITY, WI",PORTAGE
"SEMINOLE, TX",GAINES
"LONE TREE, CO",DOUGLAS
"MIDLAND, TX",MIDLAND
"SOUTH BEND, TX",YOUNG
"VACAVILLE, CA",SOLANO
"LAGUNA HILLS, CA",ORANGE
"APEX, NC",WAKE
"WESTVILLE, NJ",GLOUCESTER
"CARPINTERIA, CA",SANTA BARBARA
"FORT SMITH, AR",DALLAS
"TRENTON, ND",WILLIAMS
"HARRIS, TX",HARRIS
"HAPPY VALLEY, OR",CLACKAMAS
"Terre Haute, IN",VIGO
"RIVERSIDE, MO",PLATTE
"PLAQUEMINE, LA",IBERVILLE
"BAKER, MT",FALLON
"TIGARD, OR",WASHINGTON
"EVERETT, WA",SNOHOMISH
"SPRING VALLEY, CA",EL DORADO
"Gig Harbor, WA",PIERCE
"SALISBURY, MO",CHARITON
"SAINT ELMO, IL",NA
"BARKER, TX",HARRIS
"PORT HADLOCK, WA",JEFFERSON
"LAWRENCE, NY",NASSAU
"SWINNEY, TX",BRAZORIA
"Divide, CO",TELLER
"BREWERTON, NY",ONONDAGA
"DULLES, VA",LOUDOUN
"PALM SPRINGS, CA",RIVERSIDE
"BELLEVUE, WA",KING
"GARDEN GROVE, CA",ORANGE
"ATLANTA, GA",FULTON
"TONAWANDA, NY",ERIE
"CENTENNIAL, CO",ARAPAHOE
"Belgrade, MT",GALLATIN
"DEMING, NM",LUNA
"INGLESIDE, TX",SAN PATRICIO
"ALPINE, CA",SAN DIEGO
"POMONA, CA",LOS ANGELES
"Gallup, NM",MCKINLEY
"PLEASANT HILL, IA",POLK
"ALCOA, TN",BLOUNT
"Provo, UT",UTAH
"PARADIS, LA",ST. CHARLES
"ORLA, TX",REEVES
"ROME, GA",FLOYD
"SANTEE, CA",SAN DIEGO
"SPANAWAY, CO",NA
"CLIFTON RIDGE, LA",MORGAN
"TILDEN, TX",MCMULLEN
"MONTVALE, VA",BEDFORD
"CHESAPEAKE, VA",CHESAPEAKE CITY
"CARSON CITY, NV",CONSOLIDATED MUNICIPALITY OF CARSON CITY
"DIAMOND BAR, CA",LOS ANGELES
"LONGVIEW, WA",COWLITZ
"LOST HILLS, CA",KERN
"NORTH AUGUSTA, SC",AIKEN
"COVINA, CA",LOS ANGELES
"SELMA, NC",JOHNSTON
"BUENA PARK, CA",ORANGE
"BEAVERTON, OR",WASHINGTON
"ESCONDIDO, CA",SAN DIEGO
"WEST COVINA, CA",LOS ANGELES
"SHOW LOW, AZ",NAVAJO
"GLENDIVE, MT",DAWSON
"GRASS VALLEY, CA",NEVADA
"IRAAN, TX",PECOS
"LA CANADA, CA",LOS ANGELES
"WALDORF, MD",CHARLES
"DICKINSON, ND",STARK
"TRENTON, ME",HANCOCK
"SHERIDAN, CO",ARAPAHOE
"CARROLLTON, MO",CARROLL
"MARYSVILLE, CA",YUBA
"SAN BERNARDINO, FL",SEMINOLE
"GRANGER, WY",SWEETWATER
"LATROBE, PA",WESTMORELAND
"LEADVILLE, CO",LAKE
"WORLAND, WY",WASHAKIE
"MOUNT VERNON, WA",NA
"SAN LEANDRO, CO",NA
"MONTGOMERY, AL",MONTGOMERY
"MONT BELVIEU, TX",CHAMBERS
"MUSKEGON, MI",MUSKEGON
"SKELLYTOWN, TX",CARSON
"WEST LAFAYETTE, IN",TIPPECANOE
"GOLDSBY, OK",MCCLAIN
"DONIPHAN, NE",HALL
"SOUTH CURTIS,  ",NA
"HOLTSVILLE, NY",SUFFOLK
"MERIDIANVILLE, AL",MADISON
"HAWTHORNE, NV",MINERAL
"EDGEWOOD, IL",EFFINGHAM
"SPRINGFIELD, MO",GREENE
"SAN LORENZO, CA",ALAMEDA
"NORTH HILLS, CA",LOS ANGELES
"HERCULES, CA",CONTRA COSTA
"CONROE, TX",MONTGOMERY
"TUCSON, AZ",PIMA
"Grand Forks, ND",GRAND FORKS
"SOUTHLAKE, TX",TARRANT
"THREE RIVERS, TX",LIVE OAK
"SANTA BARBARA, NJ",MONMOUTH
"STOCKTON, CA",SAN JOAQUIN
"CARSON, CA",LOS ANGELES
"MOORHEAD, MN",CLAY
"GARDENA, CA",LOS ANGELES
"WHITTIER, CA",LOS ANGELES
"SAINT ROSE, LA",SAINT CLAIR
"DAVANT, LA",PLAQUEMINES
"SAVANNAH, GA",CHATHAM
"CLERMONT, IN",MARION
"ARKANSAS CITY, KS",COWLEY
"REEVES, TX",REEVES
"MISSOULA, MT",MISSOULA
"EFFINGHAM, IL",EFFINGHAM
"LA PUENTE, CA",LOS ANGELES
"GALENA PARK, TX",HARRIS
"Parker, CO",DOUGLAS
"MOUNTRAIL, ND",MOUNTRAIL
"CARTERSVILLE, GA",BARTOW
"ALEDO, TX",PARKER
"TEXARKANA, AR",MILLER
"NORTH ANDOVER, MA",ESSEX
"OGDEN, UT",WEBER
"BETTENDORF, IA",SCOTT
"NORTH HOLLYWOOD, CA",LOS ANGELES
"Conifer, CO",JEFFERSON
"SHINGLE SPRINGS, CA",EL DORADO
"VICTORIA, TX",VICTORIA
"CURTIS BAY, MD",BALTIMORE CITY
"CRYSTAL, MN",HENNEPIN
"STUTTGART, AR",ARKANSAS
"ROBERT LEE, TX",COKE
"MOUNT VERNON, IL",HANCOCK
"AMARILLO, TX",POTTER
"Colorado Springs, CO",EL PASO
"TEXAS CITY, TX",GALVESTON
"STERLING CITY, TX",STERLING
"Castle Rock, CO",DOUGLAS
"GLENWOOD, IA",MILLS
"LAKE CHARLES, LA",CALCASIEU
"EUGENE, OR",LANE
"GIG HARBOR, WA",PIERCE
"CLACKAMAS, OR",CLACKAMAS
"CORAOPOLIS, PA",ALLEGHENY
"Steamboat Springs, CO",ROUTT
"PITTSBURGH, PA",ALLEGHENY
"BLOOMFIELD, NM",NA
"ASHEBORO, NC",RANDOLPH
"SHERMAN OAKS, CA",LOS ANGELES
"CHANNELVIEW, TX",HARRIS
"GREENSBORO, GA",GREENE
"PLATTEVILLE, CO",WELD
"TEXICO, NM",CURRY
"SEATTLE, WA",KING
"RESEDA, CA",LOS ANGELES
"NORFOLK, NE",MADISON
"PORT ALLEN, LA",WEST BATON ROUGE
"COUNCIL BLUFFS, IA",POTTAWATTAMIE
"ARGO FAY, IL",CARROLL
"Fowler, CO",OTERO
"PAW CREEK, NC",MECKLENBURG
"Poncha Springs, CO",CHAFFEE
"EULESS, TX",TARRANT
"RIVERTON, WY",FREMONT
"JACKSON, MS",HINDS
"GRANDVIEW, WA",YAKIMA
"DAYTONA BEACH, FL",VOLUSIA
"FOLSOM, CA",SACRAMENTO
"LONGMONT, NE",NA
"LYNNWOOD, WA",SNOHOMISH
"Independence, KS",MONTGOMERY
"CYNTHIANA, KY",HARRISON
"EMPIRE, LA",PLAQUEMINES
"CHAMPAIGN, IL",CHAMPAIGN
"SANDS, TX",DUVAL
"SAN LEANDRO, CA",ALAMEDA
"Sinclair, WY",CARBON
"CORONA DEL MAR, CA",NA
"SANTA ANA, NJ",BURLINGTON
"AYER, MA",MIDDLESEX
"CONCORD, CA",CONTRA COSTA
"MCCOMB, MS",PIKE
"GILFORD, NH",BELKNAP
"HARTFORD, IL",MADISON
"EDMONDS, WA",SNOHOMISH
"BELLE CHASSE, LA",PLAQUEMINES
"BLOOMINGTON, CA",SAN BERNARDINO
